,age,num_previous_recidivisms,race_Caucasian,race_Hispanic,race_Other,gender_Male,registeredSexOffender_TRUE,violentOffender_TRUE,gangMember_x_TRUE,homeless_TRUE,DNACollected_TRUE,employmentStatus_Full_Time,employmentStatus_Part_Time,employmentStatus_Unemployed,HighestEducationLevel_High_School_Diploma,HighestEducationLevel_No_HS_Diploma,HighestEducationLevel_Some_College,licenseStatus_Not_Suspended,licenseStatus_Suspended,time_in_Work_Release (month),time_in_Monitoring (month),recidivism,time_to_recidivism_months,time_to_recidivism_category
26,44,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,3.071956688,12.89261901,0,,
27,42,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.288134556,5.192946108,0,,
28,47,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3.049512245,2.233145842,0,,
29,29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.427699564,6.249544802,0,,
30,54,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.305178512,7.554806704,1,20.833333333333332,18 to 21
31,44,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5.435282062,9.234402611,0,,
32,22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.934969556,2.149262787,0,,
33,32,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1.345988642,6.331082272,1,10.366666666666667,9 to 12
34,26,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,4.228727266,2.345867657,1,6.066666666666666,6 to 9
35,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.466948954,1.701803152,0,,
36,62,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.651797977,4.075617575,0,,
37,42,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.382528,16.02156024,0,,
38,33,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.578626849,5.723333353,1,1.7,0 to 3
39,32,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3.20989057,10.10608684,0,,
40,55,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4.310142304,1.854346258,0,,
41,33,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2.732788656,4.837653166,0,,
42,50,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,10.014752,2.923978725,0,,
43,34,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0417213,4.116125487,0,,
44,39,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2.851124337,1.039991362,0,,
45,38,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.108324887,1.881932087,0,,
46,55,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,4.59464688,3.639899338,0,,
47,50,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.848193007,0.32058303,0,,
48,49,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1.012649403,0.204575734,0,,
49,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.056248901,0.056356598,0,,
50,31,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0.269299599,2.03511297,0,,
51,27,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6.581463555,0.877205888,0,,
52,55,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.017186852,1.437283968,1,7.233333333333333,6 to 9
53,31,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2.198897893,10.77716795,0,,
54,32,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2.6259532,3.244240217,0,,
55,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.432852496,1.20839763,0,,
56,34,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2.463643786,18.70886242,0,,
57,31,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.831404027,2.078985912,0,,
58,30,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.525320402,0.8610837,1,10.933333333333332,9 to 12
59,31,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0.77143626,0.884894917,1,9.233333333333333,9 to 12
60,30,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,2.731727103,3.452029127,0,,
61,23,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0.861219948,0.675126194,0,,
62,56,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.55375662,6.070099549,1,10.333333333333334,9 to 12
63,32,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2.563852786,1.703966657,0,,
64,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,6.349941458,3.647960093,0,,
65,41,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.332786722,15.76585024,0,,
66,43,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2.421926512,0.759148,0,,
67,27,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,2.388289607,8.538653394,1,3.1666666666666665,3 to 6
68,29,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.798998912,0.730519081,0,,
69,34,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2.797493515,1.862201296,1,27.86666666666667,27 to 30
70,34,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.624419184,1.163490529,0,,
71,43,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2.904411353,4.041384006,0,,
72,35,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1.880753988,1.92467376,0,,
73,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.550393148,3.938511659,0,,
74,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.18901794,3.797357819,0,,
75,26,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.138692156,13.63622123,0,,
76,46,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1.523524927,8.01171648,0,,
77,68,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.172354946,2.096301776,0,,
78,55,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,2.104257887,0.70905648,0,,
79,27,3,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0.969350344,1.142697228,0,,
80,42,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,3.206154005,12.86072636,0,,
81,51,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.293126058,4.385122113,0,,
82,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.333550578,0.487973621,0,,
83,37,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.585759849,0.19007108,0,,
84,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8.932043725,1.959405264,0,,
85,34,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,12.63974783,4.095728375,0,,
86,55,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0.609269233,4.047546258,1,2.0,0 to 3
87,37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.299381907,3.009811421,0,,
88,36,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.387178982,4.967295866,0,,
89,43,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1.5249963,0.567779846,1,4.033333333333333,3 to 6
90,50,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.05351431,1.471214548,0,,
91,53,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.767048637,1.439257898,0,,
92,29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4.403048219,5.900413185,0,,
93,34,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.503715335,4.936776662,0,,
94,27,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2.774956334,0.815693904,1,26.666666666666668,24 to 27
95,24,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4.584880328,3.610153535,1,4.866666666666666,3 to 6
96,25,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1.086156743,21.99912557,0,,
97,49,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2.608542128,2.474669337,0,,
98,31,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6.33857737,3.80924899,0,,
99,42,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2.114140242,3.306522115,0,,
100,34,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5.509610064,5.861365994,0,,
101,50,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.153908084,5.215237019,0,,
102,45,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.939009625,0.284393061,0,,
103,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.547817702,4.79429973,0,,
104,34,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3.383871517,12.60081158,0,,
105,45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.874817196,1.207320125,0,,
106,45,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.819443981,1.887770235,0,,
107,37,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3.528886977,1.113179982,0,,
108,67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.118952742,4.601045327,0,,
109,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.932893505,1.307269554,0,,
110,42,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3.476379823,1.001029184,0,,
111,25,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1.668866343,1.127078262,1,9.26666666666667,9 to 12
112,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.175999492,2.926166952,0,,
113,44,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.365012463,5.802310413,1,0.6666666666666666,0 to 3
114,34,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.049745045,1.821472152,0,,
115,30,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,7.336797552,3.2417624,0,,
116,22,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4.877022686,0.890414972,0,,
117,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.118006715,7.741046634,0,,
118,46,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3.057880255,0.401662013,0,,
119,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.06974733,2.115379552,0,,
120,25,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.129372897,9.468712438,0,,
121,26,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1.338054897,7.485227054,1,16.466666666666665,15 to 18
122,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.668890529,0.463707022,0,,
123,55,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0.88326023,2.442550974,0,,
124,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.71601759,4.953106779,0,,
125,37,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8.104941137,0.161621685,0,,
126,21,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.770461266,2.368714331,1,1.5,0 to 3
127,26,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.325956972,2.896628802,0,,
128,31,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.651263772,3.863929492,0,,
129,35,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.551024964,2.046910819,0,,
130,55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.976206844,1.955271111,0,,
131,61,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4.877615369,3.925907749,0,,
132,37,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.555622671,1.076809166,0,,
133,25,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1.823769905,5.756706758,0,,
134,27,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.520242435,20.96740435,0,,
135,32,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,5.821250146,3.842166729,0,,
136,33,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.991734478,7.114719122,0,,
137,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.03726811,1.806241604,0,,
138,36,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.058065606,2.349809677,0,,
139,37,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3.597615242,3.256416966,0,,
140,33,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2.822169927,1.397656225,0,,
141,38,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3.411116533,4.16438662,0,,
142,39,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.061234403,1.658779898,0,,
143,35,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3.784035931,1.551949969,0,,
144,41,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.019394993,4.511028397,1,35.63333333333333,33 to 36
145,39,5,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0.281283555,0.69308473,1,36.0,33 to 36
146,45,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.472997189,1.147518561,0,,
147,47,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.57497762,0.355215536,1,12.333333333333332,12 to 15
148,28,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5.764346108,1.960519769,0,,
149,30,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.584779607,4.944613303,0,,
150,34,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.49585309,6.462880599,0,,
151,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.459883372,8.404464147,0,,
152,24,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0.776171324,3.48138795,0,,
153,36,6,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0.932726888,0.440212529,1,0.5,0 to 3
154,20,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4.198860378,8.369422372,1,0.6666666666666666,0 to 3
155,36,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1.415392223,5.997145738,0,,
156,58,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7.859816052,4.894390839,0,,
157,31,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.508855325,2.037900284,0,,
158,49,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.265341561,2.177501873,0,,
159,41,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3.631288698,2.414785974,0,,
160,34,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2.984355228,1.144565617,0,,
161,38,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.549745115,3.943228714,0,,
162,33,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.612237407,3.21989425,0,,
163,28,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.929164058,0.414476158,0,,
164,29,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6.448007892,9.851440781,0,,
165,46,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2.078958396,0.951554312,0,,
166,34,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.352110772,2.076609735,0,,
167,35,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.806803114,0.406924572,0,,
168,51,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2.753445234,12.20959164,0,,
169,43,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4.5219813,7.790451839,0,,
170,29,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.246807057,0.213092619,0,,
171,35,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.133664953,1.898812187,0,,
172,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.931431451,0.260934869,1,35.03333333333333,33 to 36
173,28,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.119243059,2.551450792,0,,
174,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,6.091293972,1.248318996,0,,
175,40,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.262069244,2.505183603,0,,
176,32,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0.393121589,7.127646611,0,,
177,30,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.716630969,0.763389111,0,,
178,33,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.288602332,7.891272344,0,,
179,41,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.889242692,1.249425552,0,,
180,38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.178612545,2.857215834,0,,
181,52,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.207821556,9.76859966,0,,
182,49,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.60914666,3.411899498,0,,
183,29,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4.028878861,0.758123115,0,,
184,35,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.046075146,8.478862507,0,,
185,38,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1.615839635,3.226210225,0,,
186,30,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.073110607,9.96693491,1,4.833333333333333,3 to 6
187,34,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1.580565069,2.167442918,0,,
188,38,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,2.767295837,0.109065369,0,,
189,36,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.734912838,7.519695714,1,6.033333333333333,6 to 9
190,26,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,7.444463033,12.12713351,0,,
191,27,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1.332214802,18.40794384,1,6.133333333333334,6 to 9
192,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.165451208,10.10629596,0,,
193,28,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.49703234,2.825188545,0,,
194,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824926341,4.336723793,0,,
195,43,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.567504345,3.205168314,0,,
196,28,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.51138941,10.81347064,0,,
197,40,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.061938806,7.14170425,0,,
198,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.172809949,11.02065166,0,,
199,38,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1.890049661,1.598495987,1,1.1333333333333333,0 to 3
200,34,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.290958042,9.105318093,0,,
201,70,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5.386813923,24.71509285,0,,
202,37,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,4.905500736,3.774588932,0,,
203,41,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,4.247541159,5.977252373,0,,
204,37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,6.0852687,9.151636206,0,,
205,39,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.250705926,1.387182166,0,,
206,32,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.049904179,4.055734846,0,,
207,38,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0.143250219,3.851062505,1,15.3,15 to 18
208,41,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1.234797987,7.535922783,0,,
209,34,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4.66627339,0.825356679,0,,
210,34,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.827891669,5.726668368,0,,
211,43,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946504724,1.636950446,0,,
212,41,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2.899095342,8.962222318,1,22.933333333333334,21 to 24
213,36,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,11.13388408,18.55656761,0,,
214,41,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2.243221319,2.31921913,0,,
215,29,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,3.277882966,5.40039247,0,,
216,47,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.950946806,2.779741997,0,,
217,63,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.052816529,7.431549905,1,3.7333333333333334,3 to 6
218,58,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3.048014142,0.402525874,0,,
219,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.139287167,2.407667641,0,,
220,27,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5.257190911,1.838573841,0,,
221,37,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,11.80107554,0.821501648,0,,
222,40,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.190780451,6.637014507,0,,
223,33,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2.840523846,7.835093525,0,,
224,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.939341885,10.40843258,0,,
225,38,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.544578885,3.2319727,0,,
226,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.293155763,7.331205664,0,,
227,37,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.557311445,0.714827343,0,,
228,33,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.517344673,0.34550025,0,,
229,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479861387,1.312783015,0,,
230,36,5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0.791941026,5.753312765,1,2.066666666666667,0 to 3
231,36,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.672795518,3.236000235,0,,
